GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref	Araport11	Araport11_Description	InterPro	InterPro_Description	SwissProt	SwissProt_Description	TrEMBL	TrEMBL_Description
PITG_09092	nucleoside diphosphate kinase, putative		protein_coding	NW_003303745.1:285147-292862	-	GeneID:9470448	AT3G19092.1	nucleoside diphosphate kinase	IPR011009;IPR000719				A0A498DCD1	
PITG_09093	uncharacterized protein		protein_coding	NW_003303745.1:307180-308604	+	GeneID:9470449	AT4G19093.1		IPR000001;IPR000002					
PITG_09095	uncharacterized protein		protein_coding	NW_003303745.1:315102-316515	+	GeneID:9470450	AT1G19095.1		IPR000001;IPR000002					
PITG_09096	uncharacterized protein		protein_coding	NW_003303745.1:316709-318016	-	GeneID:9470451	AT2G19096.1		IPR000001;IPR000002					
PITG_09097	uncharacterized protein		protein_coding	NW_003303745.1:318532-319730	-	GeneID:9470452	AT3G19097.1		IPR000001;IPR000002					
PITG_09098	uncharacterized protein		protein_coding	NW_003303745.1:320062-321390	-	GeneID:9470453	AT4G19098.1		IPR000001;IPR000002					
PITG_09100	uncharacterized protein		protein_coding	NW_003303745.1:352797-353786	+	GeneID:9470454	AT1G19100.1		IPR000001;IPR000002					
PITG_09101	glucosylceramidase, putative		protein_coding	NW_003303745.1:357235-358557	-	GeneID:9470455	AT2G19101.1	glucosylceramidase	IPR000001;IPR000002				A0A2127A63	
PITG_09102	uncharacterized protein		protein_coding	NW_003303745.1:362952-363941	+	GeneID:9470456	AT3G19102.1		IPR000001;IPR000002					
PITG_09103	uncharacterized protein		protein_coding	NW_003303745.1:373069-374288	+	GeneID:9470457	AT4G19103.1		IPR000001;IPR000002					
PITG_09105	uncharacterized protein		protein_coding	NW_003303745.1:386632-387191	-	GeneID:9470458	AT1G19105.1		IPR000001;IPR000002					
PITG_09107	uncharacterized protein		protein_coding	NW_003303745.1:411455-413741	-	GeneID:9470459	AT3G19107.1		IPR000001;IPR000002					
PITG_09108	uncharacterized protein		protein_coding	NW_003303745.1:445151-446972	+	GeneID:9470460	AT4G19108.1		IPR000001;IPR000002					
PITG_09109	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:470260-470964	+	GeneID:9470461	AT5G19109.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AC47F2E2	
PITG_09110	uncharacterized protein		protein_coding	NW_003303745.1:477345-477840	+	GeneID:9470462	AT1G19110.1		IPR000001;IPR000002					
PITG_09111	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:484882-485235	-	GeneID:9470463	AT2G19111.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A4F32F18	
PITG_09114	uncharacterized protein		protein_coding	NW_003303745.1:498166-499470	+	GeneID:9470464	AT5G19114.1		IPR000001;IPR000002					
PITG_09115	uncharacterized protein		protein_coding	NW_003303745.1:502292-502858	-	GeneID:9470465	AT1G19115.1		IPR000001;IPR000002					
PITG_09116	uncharacterized protein		protein_coding	NW_003303745.1:504178-505991	+	GeneID:9470466	AT2G19116.1		IPR000001;IPR000002					
PITG_09117	uncharacterized protein		protein_coding	NW_003303745.1:506663-507890	-	GeneID:9470467	AT3G19117.1		IPR000001;IPR000002					
PITG_09118	leishmanolysin-like peptidase		protein_coding	NW_003303745.1:508897-510293	+	GeneID:9470468	AT4G19118.1	leishmanolysin-like peptidase	IPR000001;IPR000002				A0A1C47511	
PITG_09119	leishmanolysin-like peptidase		protein_coding	NW_003303745.1:511442-512825	+	GeneID:9470469	AT5G19119.1	leishmanolysin-like peptidase	IPR000001;IPR000002				A0AB7A0000	
PITG_09120	uncharacterized protein		protein_coding	NW_003303745.1:514626-515106	+	GeneID:9470470	AT1G19120.1		IPR000001;IPR000002					
PITG_09121	uncharacterized protein		protein_coding	NW_003303745.1:516020-516686	-	GeneID:9470471	AT2G19121.1		IPR000001;IPR000002					
PITG_09123	uncharacterized protein		protein_coding	NW_003303745.1:519557-524480	-	GeneID:9470473	AT4G19123.1		IPR000001;IPR000002					
PITG_09124	uncharacterized protein		protein_coding	NW_003303745.1:533507-535292	+	GeneID:9470474	AT5G19124.1		IPR000001;IPR000002					
PITG_09125	uncharacterized protein		protein_coding	NW_003303745.1:537627-538865	+	GeneID:9470475	AT1G19125.1		IPR000001;IPR000002					
PITG_09127	uncharacterized protein		protein_coding	NW_003303745.1:556664-557489	+	GeneID:9470476	AT3G19127.1		IPR000001;IPR000002					
PITG_09128	uncharacterized protein		protein_coding	NW_003303745.1:632503-633086	+	GeneID:9470477	AT4G19128.1		IPR000001;IPR000002					
PITG_09130	uncharacterized protein		protein_coding	NW_003303745.1:639427-639684	+	GeneID:9470478	AT1G19130.1		IPR000001;IPR000002					
PITG_09131	uncharacterized protein		protein_coding	NW_003303745.1:642029-642785	+	GeneID:9470479	AT2G19131.1		IPR000001;IPR000002					
PITG_09132	uncharacterized protein		protein_coding	NW_003303745.1:643402-645221	-	GeneID:9470480	AT3G19132.1		IPR000001;IPR000002					
PITG_09133	uncharacterized protein		protein_coding	NW_003303745.1:665967-666369	-	GeneID:9470481	AT4G19133.1		IPR000001;IPR000002					
PITG_09134	amino acid/auxin permease-like protein		protein_coding	NW_003303745.1:667287-667598	+	GeneID:9470482	AT5G19134.1	amino acid/auxin permease-like protein	IPR000001;IPR000002				A0AFBD3745	
PITG_09135	uncharacterized protein		protein_coding	NW_003303745.1:672459-673947	-	GeneID:9470483	AT1G19135.1		IPR000001;IPR000002					
PITG_09137	uncharacterized protein		protein_coding	NW_003303745.1:675037-675587	+	GeneID:9470484	AT3G19137.1		IPR000001;IPR000002					
PITG_09138	uncharacterized protein		protein_coding	NW_003303745.1:677116-679763	+	GeneID:9470485	AT4G19138.1		IPR000001;IPR000002					
PITG_09139	uncharacterized protein		protein_coding	NW_003303745.1:680556-682174	+	GeneID:9470486	AT5G19139.1		IPR000001;IPR000002					
PITG_09140	uncharacterized protein		protein_coding	NW_003303745.1:683934-684311	-	GeneID:9470487	AT1G19140.1		IPR000001;IPR000002					
PITG_09141	uncharacterized protein		protein_coding	NW_003303745.1:685003-685551	+	GeneID:9470488	AT2G19141.1		IPR000001;IPR000002					
PITG_09142	uncharacterized protein		protein_coding	NW_003303745.1:685601-686386	+	GeneID:9470489	AT3G19142.1		IPR000001;IPR000002					
PITG_09143	uncharacterized protein		protein_coding	NW_003303745.1:686998-687604	+	GeneID:9470490	AT4G19143.1		IPR000001;IPR000002					
PITG_09144	uncharacterized protein		protein_coding	NW_003303745.1:688384-690059	+	GeneID:9470491	AT5G19144.1		IPR000001;IPR000002					
PITG_09146	uncharacterized protein		protein_coding	NW_003303745.1:741143-742005	-	GeneID:9470495	AT2G19146.1		IPR000001;IPR000002					
PITG_09149	uncharacterized protein		protein_coding	NW_003303745.1:784058-784596	-	GeneID:9470496	AT5G19149.1		IPR000001;IPR000002					
PITG_09151	uncharacterized protein		protein_coding	NW_003303745.1:803156-804367	-	GeneID:9470497	AT2G19151.1		IPR000001;IPR000002					
PITG_09153	uncharacterized protein		protein_coding	NW_003303745.1:828871-829411	-	GeneID:9470498	AT4G19153.1		IPR000001;IPR000002					
PITG_09156	uncharacterized protein		protein_coding	NW_003303745.1:857843-858760	-	GeneID:9470499	AT2G19156.1		IPR000001;IPR000002					
PITG_09158	uncharacterized protein		protein_coding	NW_003303745.1:883884-885248	-	GeneID:9470500	AT4G19158.1		IPR000001;IPR000002					
PITG_09159	uncharacterized protein		protein_coding	NW_003303745.1:885556-886098	-	GeneID:9470501	AT5G19159.1		IPR000001;IPR000002					
PITG_09160	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:921022-921528	-	GeneID:9470502	AT1G19160.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A2A2228A	
PITG_09162	uncharacterized protein		protein_coding	NW_003303745.1:931535-932146	-	GeneID:9470503	AT3G19162.1		IPR000001;IPR000002					
PITG_09165	pyridine nucleotide-disulfide oxidoreductase, putative		protein_coding	NW_003303745.1:973147-974327	-	GeneID:9470504	AT1G19165.1	pyridine nucleotide-disulfide oxidoreductase	IPR001327;IPR016040				A0A30A4768	
PITG_09166	uncharacterized protein		protein_coding	NW_003303745.1:993617-994376	+	GeneID:9470505	AT2G19166.1		IPR000001;IPR000002					
PITG_09167	uncharacterized protein		protein_coding	NW_003303745.1:1005674-1006432	+	GeneID:9470506	AT3G19167.1		IPR000001;IPR000002					
PITG_09169	protease inhibitor EpiC1		protein_coding	NW_003303745.1:1056646-1057026	+	GeneID:9470507	AT5G19169.1	protease inhibitor EpiC1	IPR001563;IPR024079	Q1F4F9	Q1F4F9		A0AB6B4B7A	
PITG_09172	uncharacterized protein		protein_coding	NW_003303745.1:1066530-1067546	+	GeneID:9470508	AT3G19172.1		IPR000001;IPR000002					
PITG_09173	protease inhibitor EpiC2B		protein_coding	NW_003303745.1:1078166-1078543	+	GeneID:9470509	AT4G19173.1	protease inhibitor EpiC2B	IPR001563;IPR024079				A0A79DF016	
PITG_09175	protease inhibitor EpiC2A		protein_coding	NW_003303745.1:1096906-1097283	+	GeneID:9470510	AT1G19175.1	protease inhibitor EpiC2A	IPR001563;IPR024079				A0A3BF957D	
PITG_09181	uncharacterized protein		protein_coding	NW_003303745.1:1190958-1192024	-	GeneID:9470513	AT2G19181.1		IPR000001;IPR000002					
PITG_09182	uncharacterized protein		protein_coding	NW_003303745.1:1192296-1192784	-	GeneID:9470514	AT3G19182.1		IPR000001;IPR000002					
PITG_09183	uncharacterized protein		protein_coding	NW_003303745.1:1194446-1194982	-	GeneID:9470515	AT4G19183.1		IPR000001;IPR000002					
PITG_09184	uncharacterized protein		protein_coding	NW_003303745.1:1200418-1200788	+	GeneID:9470516	AT5G19184.1		IPR000001;IPR000002					
PITG_09185	mannan endo-1,4-beta-mannosidase, putative		protein_coding	NW_003303745.1:1213497-1215178	+	GeneID:9470517	AT1G19185.1	mannan endo-1,4-beta-mannosidase	IPR000001;IPR000002				A0ACB0CD73	
PITG_09190	bzip transcription factor		protein_coding	NW_003303745.1:1231943-1233063	+	GeneID:9470518	AT1G19190.1	bzip transcription factor	IPR001356;IPR036388				A0A1576B10	
PITG_09192	mannan endo-1,4-beta-mannosidase, putative		protein_coding	NW_003303745.1:1250601-1251987	+	GeneID:9470519	AT3G19192.1	mannan endo-1,4-beta-mannosidase	IPR000001;IPR000002				A0A94A1509	
PITG_09193	aquaporin, putative		protein_coding	NW_003303745.1:1254794-1255735	-	GeneID:9470520	AT4G19193.1	aquaporin	IPR000001;IPR000002				A0A7B91B06	
PITG_09194	aquaporin, putative		protein_coding	NW_003303745.1:1257939-1258651	+	GeneID:9470521	AT5G19194.1	aquaporin	IPR000001;IPR000002				A0AD689E0D	
PITG_09195	uncharacterized protein		protein_coding	NW_003303745.1:1260156-1261062	+	GeneID:9470522	AT1G19195.1		IPR000001;IPR000002					
PITG_09196	aquaporin, putative		protein_coding	NW_003303745.1:1266835-1267745	-	GeneID:9470523	AT2G19196.1	aquaporin	IPR000001;IPR000002				A0A9FAA34A	
PITG_09197	aquaporin, putative		protein_coding	NW_003303745.1:1281315-1282223	-	GeneID:9470526	AT3G19197.1	aquaporin	IPR000001;IPR000002				A0A1A8F9FB	
PITG_09198	bzip transcription factor		protein_coding	NW_003303745.1:1298346-1299398	+	GeneID:9470527	AT4G19198.1	bzip transcription factor	IPR001356;IPR036388				A0AB6DFC5A	
PITG_09199	bzip transcription factor		protein_coding	NW_003303745.1:1340025-1341187	-	GeneID:9470529	AT5G19199.1	bzip transcription factor	IPR001356;IPR036388				A0AF2EC2E2	
PITG_09200	bzip transcription factor		protein_coding	NW_003303745.1:1344085-1345271	-	GeneID:9470530	AT1G19200.1	bzip transcription factor	IPR001356;IPR036388				A0A6BFE43E	
PITG_09201	bzip transcription factor		protein_coding	NW_003303745.1:1347820-1348908	-	GeneID:9470531	AT2G19201.1	bzip transcription factor	IPR001356;IPR036388				A0A2A682A3	
PITG_09203	Major Intrinsic Protein (MIP) Family		protein_coding	NW_003303745.1:1363292-1364282	-	GeneID:9470532	AT4G19203.1	Major Intrinsic Protein (MIP) Family	IPR000001;IPR000002				A0A8D60D4A	
PITG_09204	aquaporin, putative		protein_coding	NW_003303745.1:1364676-1365540	-	GeneID:9470533	AT5G19204.1	aquaporin	IPR000001;IPR000002				A0AE39D82E	
PITG_09206	uncharacterized protein		protein_coding	NW_003303745.1:1368164-1369363	+	GeneID:9470534	AT2G19206.1		IPR000001;IPR000002					
PITG_09207	uncharacterized protein		protein_coding	NW_003303745.1:1369463-1370626	+	GeneID:9470535	AT3G19207.1		IPR000001;IPR000002					
PITG_09208	aquaporin, putative		protein_coding	NW_003303745.1:1378981-1379725	-	GeneID:9470536	AT4G19208.1	aquaporin	IPR000001;IPR000002				A0A4FDA398	
PITG_09209	uncharacterized protein		protein_coding	NW_003303745.1:1380337-1382361	-	GeneID:9470537	AT5G19209.1		IPR000001;IPR000002					
PITG_09210	uncharacterized protein		protein_coding	NW_003303745.1:1401852-1402375	+	GeneID:9470538	AT1G19210.1		IPR000001;IPR000002					
PITG_09211	uncharacterized protein		protein_coding	NW_003303745.1:1406061-1417808	+	GeneID:9470539	AT2G19211.1		IPR000001;IPR000002					
PITG_09212	RXLR effector family protein, putative		protein_coding	NW_003303745.1:1418893-1419895	+	GeneID:9470540	AT3G19212.1	RXLR effector family protein	IPR000001;IPR000002				A0A797F999	
PITG_09213	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:1421356-1421811	-	GeneID:9470541	AT4G19213.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A027FA82	
PITG_09214	uncharacterized protein		protein_coding	NW_003303745.1:1431498-1432240	-	GeneID:9470542	AT5G19214.1		IPR000001;IPR000002					
PITG_09216	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:1449344-1449871	+	GeneID:9470543	AT2G19216.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AD4D8F76	
PITG_09218	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:1462403-1462900	+	GeneID:9470544	AT4G19218.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0ADC1A4C2	
PITG_09220	uncharacterized protein		protein_coding	NW_003303745.1:1472790-1476247	-	GeneID:9470545	AT1G19220.1		IPR000001;IPR000002					
PITG_09221	glutaredoxin, putative		protein_coding	NW_003303745.1:1476485-1477206	+	GeneID:9470546	AT2G19221.1	glutaredoxin	IPR000001;IPR000002	Q77D31	Q77D31		A0AD2FC49B	
PITG_09222	uncharacterized protein		protein_coding	NW_003303745.1:1477276-1478189	-	GeneID:9470547	AT3G19222.1		IPR000001;IPR000002					
PITG_09223	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:1478828-1479262	-	GeneID:9470548	AT4G19223.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A35A19E5	
PITG_09224	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303745.1:1480524-1480946	-	GeneID:9470549	AT5G19224.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A93CE43E	
PITG_09227	uncharacterized protein		protein_coding	NW_003303745.1:1511507-1511710	+	GeneID:9470550	AT3G19227.1		IPR000001;IPR000002					
PITG_09228	uncharacterized protein		protein_coding	NW_003303745.1:1523971-1525086	+	GeneID:9470551	AT4G19228.1		IPR000001;IPR000002					
PITG_09229	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303745.1:1529484-1533516	+	GeneID:9470552	AT5G19229.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0ACF36108	
PITG_09230	uncharacterized protein		protein_coding	NW_003303745.1:1535346-1535855	+	GeneID:9470553	AT1G19230.1		IPR000001;IPR000002					
PITG_09234	cysteinyl-tRNA synthetase, putative		protein_coding	NW_003303745.1:1564254-1566961	+	GeneID:9470555	AT5G19234.1	cysteinyl-tRNA synthetase	IPR000504;IPR012336	Q30844	Q30844		A0A23CCAF2	
PITG_09235	uncharacterized protein		protein_coding	NW_003303745.1:1570093-1570587	+	GeneID:9470557	AT1G19235.1		IPR000001;IPR000002					
PITG_09236	uncharacterized protein		protein_coding	NW_003303745.1:1579415-1579792	-	GeneID:9470559	AT2G19236.1		IPR000001;IPR000002					
PITG_09237	uncharacterized protein		protein_coding	NW_003303745.1:1581882-1583490	-	GeneID:9470560	AT3G19237.1		IPR000001;IPR000002					
PITG_09238	uncharacterized protein		protein_coding	NW_003303745.1:1599686-1600286	-	GeneID:9470561	AT4G19238.1		IPR000001;IPR000002					
PITG_09239	uncharacterized protein		protein_coding	NW_003303745.1:1619143-1620474	+	GeneID:9470562	AT5G19239.1		IPR000001;IPR000002					
PITG_09240	uncharacterized protein		protein_coding	NW_003303745.1:1622827-1623918	+	GeneID:9470563	AT1G19240.1		IPR000001;IPR000002					
PITG_09241	uncharacterized protein		protein_coding	NW_003303745.1:1624900-1625826	+	GeneID:9470564	AT2G19241.1		IPR000001;IPR000002					
PITG_09242	uncharacterized protein		protein_coding	NW_003303745.1:1625941-1628261	-	GeneID:9470565	AT3G19242.1		IPR000001;IPR000002					
PITG_09243	rRNA methyltransferase, putative		protein_coding	NW_003303745.1:1628400-1629769	+	GeneID:9470566	AT4G19243.1	rRNA methyltransferase	IPR000504;IPR012336	Q7E5B2	Q7E5B2		A0A45B96AF	
PITG_09244	uncharacterized protein		protein_coding	NW_003303745.1:1629801-1632848	-	GeneID:9470567	AT5G19244.1		IPR000001;IPR000002					
PITG_09245	uncharacterized protein		protein_coding	NW_003303745.1:1633166-1634486	+	GeneID:9470568	AT1G19245.1		IPR000001;IPR000002					
PITG_09246	uncharacterized protein		protein_coding	NW_003303745.1:1635165-1635696	+	GeneID:9470569	AT2G19246.1		IPR000001;IPR000002					
PITG_09247	neurobeachin-like protein		protein_coding	NW_003303745.1:1636526-1645246	+	GeneID:9470570	AT3G19247.1	neurobeachin-like protein	IPR000001;IPR000002	Q33E63	Q33E63		A0A3A3E366	
PITG_09248	Proton-dependent Oligopeptide Transporter (POT) Family		protein_coding	NW_003303745.1:1645371-1647200	+	GeneID:9470571	AT4G19248.1	Proton-dependent Oligopeptide Transporter (POT) Family	IPR003439;IPR003593				A0AB7F6D40	
PITG_09249	sporangia induced hypothetical protein		protein_coding	NW_003303745.1:1647299-1648004	-	GeneID:9470572	AT5G19249.1	sporangia induced hypothetical protein	IPR000001;IPR000002				A0AE392A57	
PITG_09250	uncharacterized protein		protein_coding	NW_003303745.1:1648939-1652699	-	GeneID:9470573	AT1G19250.1		IPR000001;IPR000002					
PITG_09251	uncharacterized protein		protein_coding	NW_003303745.1:1655532-1657959	+	GeneID:9470574	AT2G19251.1		IPR000001;IPR000002					
PITG_09252	uncharacterized protein		protein_coding	NW_003303745.1:1659870-1660564	+	GeneID:9470575	AT3G19252.1		IPR000001;IPR000002					
PITG_09253	uncharacterized protein		protein_coding	NW_003303745.1:1660838-1661396	-	GeneID:9470576	AT4G19253.1		IPR000001;IPR000002					
PITG_09254	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1661838-1662623	-	GeneID:9470577	AT5G19254.1	polysaccharide lyase	IPR000001;IPR000002				A0AA3C9BFB	
PITG_09255	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1669861-1670387	-	GeneID:9470578	AT1G19255.1	polysaccharide lyase	IPR000001;IPR000002				A0A79E8F2A	
PITG_09256	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1684793-1685488	-	GeneID:9470579	AT2G19256.1	polysaccharide lyase	IPR000001;IPR000002				A0A591926D	
PITG_09257	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1687407-1688193	-	GeneID:9470580	AT3G19257.1	polysaccharide lyase	IPR000001;IPR000002				A0A0AC88AF	
PITG_09258	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1690021-1690502	-	GeneID:9470581	AT4G19258.1	polysaccharide lyase	IPR000001;IPR000002				A0A3726FC4	
PITG_09259	polysaccharide lyase, putative		protein_coding	NW_003303745.1:1707463-1708159	+	GeneID:9461743	AT5G19259.1	polysaccharide lyase	IPR000001;IPR000002				A0AEC3CE26	
PITG_09260	uncharacterized protein		protein_coding	NW_003303745.1:1711643-1716580	+	GeneID:9461744	AT1G19260.1		IPR000001;IPR000002					
PITG_09261	Equilibrative Nucleoside Transporter (ENT) Family		protein_coding	NW_003303745.1:1716650-1718005	-	GeneID:9461745	AT2G19261.1	Equilibrative Nucleoside Transporter (ENT) Family	IPR003439;IPR003593	Q7FB76	Q7FB76		A0A7DCD3BB	
PITG_09262	Equilibrative Nucleoside Transporter (ENT) Family		protein_coding	NW_003303745.1:1718290-1719645	-	GeneID:9461746	AT3G19262.1	Equilibrative Nucleoside Transporter (ENT) Family	IPR003439;IPR003593	Q7FB76	Q7FB76		A0A34BF517	
PITG_09264	uncharacterized protein		protein_coding	NW_003303745.1:1727300-1728238	-	GeneID:9461747	AT5G19264.1		IPR000001;IPR000002					
PITG_09268	uncharacterized protein		protein_coding	NW_003303745.1:1742875-1743385	+	GeneID:9461748	AT4G19268.1		IPR000001;IPR000002					
PITG_09269	uncharacterized protein		protein_coding	NW_003303745.1:1747159-1747992	-	GeneID:9461749	AT5G19269.1		IPR000001;IPR000002					
PITG_09270	structural maintenance of chromosomes protein 6, putative		protein_coding	NW_003303745.1:1752580-1756065	+	GeneID:9461751	AT1G19270.1	structural maintenance of chromosomes protein 6	IPR000001;IPR000002				A0A86558D9	
PITG_09271	ornithine aminotransferase, mitochondrial precursor		protein_coding	NW_003303745.1:1756256-1757828	-	GeneID:9461752	AT2G19271.1	ornithine aminotransferase, mitochondrial precursor	IPR005150;IPR013015	Q2E2B8	Q2E2B8		A0A332CDA6	
PITG_09272	uncharacterized protein		protein_coding	NW_003303745.1:1773262-1773733	-	GeneID:9461753	AT3G19272.1		IPR000001;IPR000002					
PITG_09273	AMP deaminase 2		protein_coding	NW_003303745.1:1773969-1775343	+	GeneID:9461754	AT4G19273.1	AMP deaminase 2	IPR000001;IPR000002	Q7F8D2	Q7F8D2		A0ACD527C1	
PITG_09274	uncharacterized protein		protein_coding	NW_003303745.1:1776458-1777264	-	GeneID:9461755	AT5G19274.1		IPR000001;IPR000002					
PITG_09277	uncharacterized protein		protein_coding	NW_003303745.1:1838075-1839150	+	GeneID:9461756	AT3G19277.1		IPR000001;IPR000002					
PITG_09278	uncharacterized protein		protein_coding	NW_003303745.1:1839109-1840553	+	GeneID:9461757	AT4G19278.1		IPR000001;IPR000002					
PITG_09279	bZIP transcription factor, putative		protein_coding	NW_003303745.1:1843226-1845684	-	GeneID:9461758	AT5G19279.1	bZIP transcription factor	IPR001356;IPR036388				A0AED4135F	
PITG_09280	bZIP transcription factor, putative		protein_coding	NW_003303745.1:1898466-1900173	-	GeneID:9461759	AT1G19280.1	bZIP transcription factor	IPR001356;IPR036388				A0A4A1233B	
PITG_09281	uncharacterized protein		protein_coding	NW_003303745.1:1901851-1904661	+	GeneID:9461760	AT2G19281.1		IPR000001;IPR000002					
PITG_09282	calcium-transporting ATPase 1, endoplasmic reticulum-type, putative		protein_coding	NW_003303745.1:1905603-1908743	+	GeneID:9461761	AT3G19282.1	calcium-transporting ATPase 1, endoplasmic reticulum-type	IPR002048;IPR016024				A0AD434B05	
PITG_09283	uncharacterized protein		protein_coding	NW_003303745.1:1910109-1910699	+	GeneID:9461762	AT4G19283.1		IPR000001;IPR000002					
PITG_09284	actin, putative		protein_coding	NW_003303745.1:1911202-1912543	+	GeneID:9461763	AT5G19284.1	actin	IPR000001;IPR000002				A0AFB8EA7D	
PITG_09285	uncharacterized protein		protein_coding	NW_003303745.1:1912758-1915202	-	GeneID:9461764	AT1G19285.1		IPR000001;IPR000002					
PITG_09286	uncharacterized protein		protein_coding	NW_003303745.1:1915306-1916617	+	GeneID:9461765	AT2G19286.1		IPR000001;IPR000002					
PITG_09287	sporangia induced hypothetical protein		protein_coding	NW_003303745.1:1916670-1917245	-	GeneID:9461766	AT3G19287.1	sporangia induced hypothetical protein	IPR000001;IPR000002				A0ACE952EC	
PITG_09288	nephrocystin-4-like protein		protein_coding	NW_003303745.1:1918043-1926700	-	GeneID:9461767	AT4G19288.1	nephrocystin-4-like protein	IPR000001;IPR000002				A0A2D37106	
PITG_09289	eukaryotic translation initiation factor 3 subunit F, putative		protein_coding	NW_003303745.1:1927051-1928067	-	GeneID:9461768	AT5G19289.1	eukaryotic translation initiation factor 3 subunit F	IPR000001;IPR000002	Q4F1A6	Q4F1A6		A0AC6716B5	
PITG_09290	uncharacterized protein		protein_coding	NW_003303745.1:1928187-1929323	+	GeneID:9461769	AT1G19290.1		IPR000001;IPR000002					
PITG_09291	uncharacterized protein		protein_coding	NW_003303745.1:1929580-1930183	-	GeneID:9461770	AT2G19291.1		IPR000001;IPR000002					
PITG_09292	Dicer-like 1 (DCL1)		protein_coding	NW_003303745.1:1931317-1936311	+	GeneID:9461771	AT3G19292.1	Dicer-like 1 (DCL1)	IPR000001;IPR000002				A0A2426B57	
PITG_09293	GAF domain-containing protein		protein_coding	NW_003303745.1:1936535-1938896	-	GeneID:9461772	AT4G19293.1	GAF domain-containing protein	IPR002048;IPR016024				A0AA367FC4	
PITG_09294	uncharacterized protein		protein_coding	NW_003303745.1:1941385-1945536	+	GeneID:9461773	AT5G19294.1		IPR000001;IPR000002					
PITG_09295	dicarboxylate/amino acid:cation (Na or H) symporter (DAACS) family protein		protein_coding	NW_003303745.1:1964957-1966411	+	GeneID:9461774	AT1G19295.1	dicarboxylate/amino acid:cation (Na or H) symporter (DAACS) family protein	IPR000001;IPR000002	Q56118	Q56118		A0AC7CE4E3	
PITG_09296	sterol 3-beta-glucosyltransferase, putative		protein_coding	NW_003303745.1:1994571-2001335	-	GeneID:9461775	AT2G19296.1	sterol 3-beta-glucosyltransferase	IPR005150;IPR013015				A0A49D139B	
PITG_09297	uncharacterized protein		protein_coding	NW_003303745.1:2001927-2002623	-	GeneID:9461776	AT3G19297.1		IPR000001;IPR000002					
PITG_09298	uncharacterized protein		protein_coding	NW_003303745.1:2003118-2004002	+	GeneID:9461777	AT4G19298.1		IPR000001;IPR000002					
PITG_09300	uncharacterized protein		protein_coding	NW_003303745.1:2019210-2019789	-	GeneID:9461778	AT1G19300.1		IPR000001;IPR000002					
PITG_09301	uncharacterized protein		protein_coding	NW_003303745.1:2021441-2022037	-	GeneID:9461779	AT2G19301.1		IPR000001;IPR000002					
PITG_09302	uncharacterized protein		protein_coding	NW_003303745.1:2025612-2027990	-	GeneID:9461780	AT3G19302.1		IPR000001;IPR000002					
PITG_09303	uncharacterized protein		protein_coding	NW_003303745.1:2031388-2031970	-	GeneID:9461781	AT4G19303.1		IPR000001;IPR000002					
PITG_09304	uncharacterized protein		protein_coding	NW_003303745.1:2032886-2034189	-	GeneID:9461782	AT5G19304.1		IPR000001;IPR000002					
PITG_09305	DNA repair protein RAD51		protein_coding	NW_003303745.1:2034363-2035827	+	GeneID:9461783	AT1G19305.1	DNA repair protein RAD51	IPR000001;IPR000002				A0AC44FB44	
PITG_09306	uncharacterized protein		protein_coding	NW_003303745.1:2036297-2037499	-	GeneID:9461784	AT2G19306.1		IPR000001;IPR000002					
PITG_09307	uncharacterized protein		protein_coding	NW_003303745.1:2037884-2038271	-	GeneID:9461785	AT3G19307.1		IPR000001;IPR000002					
PITG_09309	uncharacterized protein		protein_coding	NW_003303745.1:2044222-2046192	+	GeneID:9461786	AT5G19309.1		IPR000001;IPR000002					
PITG_09310	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative		protein_coding	NW_003303745.1:2049452-2051239	+	GeneID:9461787	AT1G19310.1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase	IPR011009;IPR000719	Q7E0D5	Q7E0D5		A0AAE81BE6	
